Stock Invested in,Sector,Sector Total,Value(Mn),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName,Fund Name,Fund Id,MF ACF,MF Type
Larsen & Toubro Ltd.,Civil construction,26.55,570.3,5.65%,-2.97%,10.91% (Apr 2023),5.65% (Feb 2024),1.64 L,-0.75 L,Large Cap,24.12,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
Ahluwalia Contracts (India) Ltd.,Civil construction,26.55,512.6,5.08%,1.24%,5.08% (Feb 2024),3.41% (Apr 2023),4.31 L,0.00,Small Cap,36.36,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
Torrent Power Ltd.,Integrated power utilities,4.73,477.4,4.73%,-0.04%,5.14% (Nov 2023),3.56% (May 2023),4.43 L,0.00,Mid Cap,19.66,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
Ultratech Cement Ltd.,Cement & cement products,10.18,440.5,4.36%,-1.10%,8.74% (Mar 2023),4.36% (Feb 2024),44.53 k,-7.26 k,Large Cap,24.12,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
Kirloskar Brothers Ltd.,"Compressors, pumps & diesel engines",5.7,428.7,4.25%,-0.16%,5.54% (Oct 2023),3.04% (Apr 2023),4.66 L,0.00,Small Cap,36.36,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
Bharat Electronics Ltd.,Aerospace & defense,6.08,416.1,4.12%,-1.01%,5.56% (Dec 2023),4.12% (Feb 2024),20.29 L,-6.36 L,Mid Cap,19.66,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
J.K. Cement Ltd.,Cement & cement products,10.18,412.7,4.09%,-0.29%,4.6% (Jun 2023),3.92% (Sep 2023),91.40 k,-5.48 k,Small Cap,36.36,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
GPT Infraprojects Ltd.,Civil construction,26.55,303.3,3.01%,-0.27%,3.28% (Jan 2024),0.92% (Aug 2023),16.20 L,0.00,Small Cap,36.36,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
Jindal Steel & Power Ltd.,Iron & steel products,3.06,284.6,2.82%,-0.06%,4.32% (Apr 2023),2.82% (Feb 2024),3.67 L,0.00,Mid Cap,19.66,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
I T D Cementation India Ltd.,Civil construction,26.55,278.5,2.76%,-0.51%,3.45% (Nov 2023),1.77% (Mar 2023),8.43 L,-1.29 L,Small Cap,36.36,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
Thermax Ltd.,Heavy electrical equipment,5.93,247.5,2.45%,0.01%,4.46% (Sep 2023),2.44% (Jan 2024),68.06 k,-5.98 k,Mid Cap,19.66,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
PNC Infratech Ltd.,Civil construction,26.55,246.1,2.44%,-0.82%,3.6% (Sep 2023),2.44% (Feb 2024),5.76 L,-1.11 L,Small Cap,36.36,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
Container Corporation Of India Ltd.,Logistics solution provider,6.72,233.3,2.31%,0.12%,2.74% (May 2023),0% (Mar 2023),2.39 L,0.00,Large Cap,24.12,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
HG Infra Engineering Ltd.,Civil construction,26.55,209.5,2.08%,-0.26%,3.93% (Apr 2023),2.08% (Feb 2024),2.38 L,-4.16 k,Small Cap,36.36,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
Bharti Airtel Ltd.,Telecom - cellular & fixed line services,2.69,205.2,2.03%,-0.19%,5.06% (May 2023),2.03% (Feb 2024),1.83 L,0.00,Large Cap,24.12,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
GAIL (India) Ltd.,Gas transmission/marketing,3.47,202.6,2.01%,1.23%,2.01% (Feb 2024),0% (Mar 2023),11.12 L,6.77 L,Large Cap,24.12,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
Swan Energy Ltd.,Other textile products,1.9,191.5,1.90%,0.20%,1.9% (Feb 2024),0% (Mar 2023),2.57 L,0.00,Small Cap,36.36,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
Sterling and Wilson Solar Private Ltd.,Civil construction,26.55,186.1,1.84%,0.03%,1.84% (Feb 2024),0% (Mar 2023),3.08 L,0.00,Other,14.35,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
Minda Corporation Ltd.,Auto components & equipments,1.84,185.5,1.84%,-0.04%,1.93% (Dec 2023),0% (Mar 2023),4.41 L,0.00,Small Cap,36.36,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
"#
Juniper Hotels Ltd.",Hotels & resorts,1.75,176.5,1.75%,1.75%,1.75% (Feb 2024),0% (Mar 2023),4.03 L,4.03 L,Other,14.35,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
NCC Ltd.,Civil construction,26.55,174.9,1.73%,-1.12%,2.85% (Jan 2024),1.73% (Feb 2024),7.08 L,-5.71 L,Small Cap,36.36,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
National Thermal Power Corporation Ltd.,Power generation,2.62,166.3,1.65%,0.50%,1.65% (Feb 2024),0% (Mar 2023),4.96 L,1.45 L,Large Cap,24.12,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
Adani Ports And Special Economic Zone Ltd.,Port & port services,1.6,161.6,1.60%,0.07%,1.6% (Feb 2024),0% (Mar 2023),1.22 L,0.00,Large Cap,24.12,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
Delhivery Ltd.,Logistics solution provider,6.72,158.9,1.57%,0.01%,1.57% (Feb 2024),0% (Mar 2023),3.36 L,0.00,Other,14.35,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
Carborundum Universal Ltd.,Abrasives & bearings,1.53,154.9,1.53%,-0.16%,2.74% (Jun 2023),1.53% (Feb 2024),1.45 L,0.00,Small Cap,36.36,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
Gateway Rail Freight Ltd.,Logistics solution provider,6.72,149,1.48%,-0.12%,1.71% (Nov 2023),1.34% (May 2023),13.78 L,0.00,Other,14.35,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
Cummins India Ltd.,"Compressors, pumps & diesel engines",5.7,146.7,1.45%,0.26%,1.45% (Feb 2024),1.08% (Sep 2023),53.55 k,3.55 k,Mid Cap,19.66,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
ABB India Ltd.,Heavy electrical equipment,5.93,142.3,1.41%,-0.88%,5.83% (Jun 2023),1.41% (Feb 2024),26.14 k,-0.21 L,Large Cap,24.12,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
"#
Gpt Healthcare Ltd.",Hospital,1.85,141.1,1.40%,1.40%,1.4% (Feb 2024),0% (Mar 2023),7.03 L,7.03 L,Other,14.35,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
Transport Corporation Of India Ltd.,Logistics solution provider,6.72,137.5,1.36%,-0.96%,4.11% (May 2023),1.36% (Feb 2024),1.66 L,-0.73 L,Small Cap,36.36,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
Gujarat State Petronet Ltd.,Gas transmission/marketing,3.47,134.2,1.33%,-0.06%,2.72% (Apr 2023),1.33% (Feb 2024),3.64 L,0.00,Mid Cap,19.66,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
Jyoti CNC Automation Ltd.,Industrial products,1.5,124.6,1.23%,0.01%,1.23% (Feb 2024),0% (Mar 2023),2.12 L,0.00,Other,14.35,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
"#
Siemens Ltd.",Heavy electrical equipment,5.93,117,1.16%,1.16%,1.16% (Feb 2024),0% (Mar 2023),25.00 k,25.00 k,Large Cap,24.12,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
PTC India Financial Services Ltd.,Non banking financial company (nbfc),1.1,111.1,1.10%,-0.19%,1.29% (Jan 2024),0% (Mar 2023),24.92 L,4.95 L,Small Cap,36.36,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
Azad Engineering Ltd.,Aerospace & defense,6.08,101.8,1.01%,-0.33%,1.34% (Jan 2024),0% (Mar 2023),84.08 k,-0.50 L,Other,14.35,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
ISGEC Heavy Engineering Ltd.,Civil construction,26.55,98.1,0.97%,-0.26%,1.29% (Nov 2023),0.74% (Mar 2023),1.15 L,0.00,Other,14.35,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
Dalmia Bharat Ltd.,Cement & cement products,10.18,92.4,0.92%,-0.16%,1.18% (Dec 2023),0% (Mar 2023),45.62 k,0.00,Mid Cap,19.66,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
ABB Power Products and Systems India Ltd.,Heavy electrical equipment,5.93,91.8,0.91%,-0.03%,0.94% (Jan 2024),0% (Mar 2023),15.29 k,0.00,Other,14.35,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
Indus Towers Ltd.,Telecom - infrastructure,0.86,86.4,0.86%,0.36%,0.86% (Feb 2024),0% (Mar 2023),3.42 L,1.23 L,Large Cap,24.12,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
KNR Constructions,Civil construction,26.55,85.6,0.85%,-0.32%,1.17% (Jan 2024),0% (Mar 2023),3.19 L,-0.89 L,Small Cap,36.36,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
"#
Hindalco Industries Ltd.",Aluminium,0.83,84,0.83%,0.83%,0.94% (Apr 2023),0% (Mar 2023),1.67 L,1.67 L,Large Cap,24.12,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
Hi-Tech Pipes Ltd.,Commodities,0.59,60,0.59%,-0.01%,0.6% (Jan 2024),0% (Mar 2023),4.00 L,0.00,Other,14.35,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
Sagar Cements Ltd.,Cement & cement products,10.18,57,0.56%,-0.30%,3.06% (Mar 2023),0.56% (Feb 2024),2.39 L,-0.71 L,Other,14.35,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
Titagarh Wagons,Railway wagons,0.53,53.2,0.53%,0.17%,0.53% (Feb 2024),0% (Mar 2023),56.75 k,24.60 k,Small Cap,36.36,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
Bharat Dynamics Ltd.,Aerospace & defense,6.08,51.2,0.51%,0.25%,0.51% (Feb 2024),0% (Mar 2023),28.28 k,13.74 k,Small Cap,36.36,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
"#
NHPC Ltd.",Power generation,2.62,49.1,0.49%,0.49%,0.49% (Feb 2024),0% (Mar 2023),5.57 L,5.57 L,Mid Cap,19.66,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
J S W Energy Ltd.,Power generation,2.62,48.3,0.48%,-0.02%,0.5% (Jan 2024),0% (Mar 2023),94.92 k,0.00,Mid Cap,19.66,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
"#
Fortis Healthcare Ltd.",Hospital,1.85,45.5,0.45%,0.45%,0.45% (Feb 2024),0% (Mar 2023),1.12 L,1.12 L,Other,14.35,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
"-
Solar Industries India Ltd.",Explosives,0.45,45.4,0.45%,0.00%,0.51% (Dec 2023),0% (Mar 2023),6.74 k,0.00,Small Cap,36.36,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
"#
Tata Communications Ltd.",Telecom - cellular & fixed line services,2.69,44.9,0.44%,0.44%,0.44% (Feb 2024),0% (Mar 2023),23.35 k,23.35 k,Mid Cap,19.66,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
Mishra Dhatu Nigam Ltd.,Aerospace & defense,6.08,44.9,0.44%,0.14%,0.44% (Feb 2024),0% (Mar 2023),1.11 L,54.91 k,Small Cap,36.36,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
3M India Ltd.,Diversified,0.43,43.5,0.43%,-0.05%,0.58% (Dec 2023),0% (Mar 2023),1.36 k,0.00,Mid Cap,19.66,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
Praj Industries Ltd.,Industrial products,1.5,27.4,0.27%,-0.18%,1.77% (Nov 2023),0% (Mar 2023),54.70 k,-0.32 L,Small Cap,36.36,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
Ambuja Cements Ltd.,Cement & cement products,10.18,25.3,0.25%,0.01%,0.25% (Feb 2024),0% (Mar 2023),41.72 k,0.00,Large Cap,24.12,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
Tata Steel Ltd.,Iron & steel products,3.06,24.5,0.24%,-0.01%,0.74% (Mar 2023),0% (Mar 2023),1.74 L,0.00,Other,14.35,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
Bharti Airtel Ltd. - Partly Paid,Telecom - cellular & fixed line services,2.69,22.4,0.22%,-0.03%,0.25% (Jan 2024),0.18% (Mar 2023),30.98 k,0.00,Other,14.35,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
"#
Power Mech Projects Ltd.",Civil construction,26.55,13.7,0.14%,0.14%,0.14% (Feb 2024),0% (Mar 2023),2.68 k,2.68 k,Small Cap,36.36,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
Gujarat Gas Ltd.,Gas transmission/marketing,3.47,13.2,0.13%,-0.01%,2.4% (May 2023),0.13% (Feb 2024),23.26 k,0.00,Other,14.35,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
Engineers India Ltd.,Civil construction,26.55,0.1,0.00%,-1.27%,2.43% (Jul 2023),0% (Feb 2024),225.00,-5.25 L,Small Cap,36.36,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
Power Grid Corporation of India Ltd.,Power - transmission,,3.6,0.00%,-0.04%,-,-,-,-,Large Cap,24.12,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
Bosch Ltd.,Auto components & equipments,1.84,41.5,0.00%,-0.43%,-,-,-,-,Large Cap,24.12,bandhan-infrastructure-fund-direct-plan-growth,MAG731,Equity,12_sectoral
Sun Pharmaceutical Industries Ltd.,Pharmaceuticals,99.97,105.9,26.73%,1.58%,26.73% (Feb 2024),23.74% (Aug 2023),67.13 k,9.18 k,Large Cap,68.85,icici-prudential-nifty-pharma-index-fund-direct-plan-growth,MPI4635,Equity,12_sectoral
Dr. Reddys Laboratories Ltd.,Pharmaceuticals,99.97,48.6,12.27%,0.03%,13.94% (Mar 2023),12.24% (Jan 2024),7.57 k,1.04 k,Large Cap,68.85,icici-prudential-nifty-pharma-index-fund-direct-plan-growth,MPI4635,Equity,12_sectoral
Cipla Ltd.,Pharmaceuticals,99.97,48.3,12.19%,0.55%,13.05% (Aug 2023),10.88% (Apr 2023),32.63 k,4.46 k,Large Cap,68.85,icici-prudential-nifty-pharma-index-fund-direct-plan-growth,MPI4635,Equity,12_sectoral
Divis Laboratories Ltd.,Pharmaceuticals,99.97,27.6,6.98%,-0.71%,9.92% (May 2023),6.98% (Feb 2024),7.92 k,1.08 k,Large Cap,68.85,icici-prudential-nifty-pharma-index-fund-direct-plan-growth,MPI4635,Equity,12_sectoral
Lupin Ltd.,Pharmaceuticals,99.97,24.3,6.14%,0.17%,6.14% (Feb 2024),3.88% (Mar 2023),15.00 k,2.05 k,Large Cap,68.85,icici-prudential-nifty-pharma-index-fund-direct-plan-growth,MPI4635,Equity,12_sectoral
Aurobindo Pharma Ltd.,Pharmaceuticals,99.97,18,4.54%,-0.78%,5.4% (Dec 2023),3.61% (Mar 2023),17.49 k,2.39 k,Large Cap,68.85,icici-prudential-nifty-pharma-index-fund-direct-plan-growth,MPI4635,Equity,12_sectoral
Alkem Laboratories Ltd.,Pharmaceuticals,99.97,16,4.04%,-0.08%,4.62% (Dec 2023),3.38% (Sep 2023),3.12 k,427.00,Mid Cap,23.18,icici-prudential-nifty-pharma-index-fund-direct-plan-growth,MPI4635,Equity,12_sectoral
Torrent Pharmaceuticals Ltd.,Pharmaceuticals,99.97,15.2,3.82%,0.02%,3.82% (Feb 2024),3.33% (Aug 2023),5.68 k,777.00,Mid Cap,23.18,icici-prudential-nifty-pharma-index-fund-direct-plan-growth,MPI4635,Equity,12_sectoral
Zydus Lifesciences Ltd.,Pharmaceuticals,99.97,14.8,3.74%,0.58%,3.74% (Feb 2024),2.87% (May 2023),15.73 k,2.15 k,Mid Cap,23.18,icici-prudential-nifty-pharma-index-fund-direct-plan-growth,MPI4635,Equity,12_sectoral
Ipca Laboratories Ltd.,Pharmaceuticals,99.97,10,2.52%,0.04%,2.79% (Nov 2023),2.13% (May 2023),8.36 k,1.14 k,Other,6.95,icici-prudential-nifty-pharma-index-fund-direct-plan-growth,MPI4635,Equity,12_sectoral
Laurus Labs Ltd.,Pharmaceuticals,99.97,9.9,2.51%,0.04%,3.12% (Jun 2023),2.46% (Jan 2024),24.45 k,3.34 k,Other,6.95,icici-prudential-nifty-pharma-index-fund-direct-plan-growth,MPI4635,Equity,12_sectoral
Abbott India Ltd.,Pharmaceuticals,99.97,9.4,2.37%,0.12%,2.89% (Mar 2023),2.14% (Dec 2023),330.00,46.00,Mid Cap,23.18,icici-prudential-nifty-pharma-index-fund-direct-plan-growth,MPI4635,Equity,12_sectoral
Glenmark Pharmaceuticals Ltd.,Pharmaceuticals,99.97,8.6,2.17%,-0.06%,2.44% (Sep 2023),1.72% (Mar 2023),9.30 k,1.27 k,Mid Cap,23.18,icici-prudential-nifty-pharma-index-fund-direct-plan-growth,MPI4635,Equity,12_sectoral
Biocon Ltd.,Pharmaceuticals,99.97,7.6,1.93%,-0.03%,2.55% (Jun 2023),1.93% (Feb 2024),27.62 k,3.78 k,Mid Cap,23.18,icici-prudential-nifty-pharma-index-fund-direct-plan-growth,MPI4635,Equity,12_sectoral
Gland Pharma Ltd.,Pharmaceuticals,99.97,7.6,1.92%,-0.31%,2.38% (Aug 2023),1.44% (May 2023),4.30 k,587.00,Other,6.95,icici-prudential-nifty-pharma-index-fund-direct-plan-growth,MPI4635,Equity,12_sectoral
NATCO Pharma Ltd.,Pharmaceuticals,99.97,5.6,1.42%,0.13%,1.67% (Aug 2023),1.22% (Apr 2023),5.65 k,773.00,Mid Cap,23.18,icici-prudential-nifty-pharma-index-fund-direct-plan-growth,MPI4635,Equity,12_sectoral
GlaxoSmithKline Pharmaceuticals Ltd.,Pharmaceuticals,99.97,5.5,1.39%,-0.12%,1.5% (Jan 2024),1.13% (Jul 2023),2.53 k,346.00,Mid Cap,23.18,icici-prudential-nifty-pharma-index-fund-direct-plan-growth,MPI4635,Equity,12_sectoral
Sanofi India Ltd.,Pharmaceuticals,99.97,4.8,1.21%,-0.06%,1.38% (Oct 2023),1.14% (Apr 2023),558.00,77.00,Mid Cap,23.18,icici-prudential-nifty-pharma-index-fund-direct-plan-growth,MPI4635,Equity,12_sectoral
Pfizer Ltd.,Pharmaceuticals,99.97,4.3,1.09%,0.02%,1.3% (Mar 2023),1.07% (Jan 2024),938.00,129.00,Mid Cap,23.18,icici-prudential-nifty-pharma-index-fund-direct-plan-growth,MPI4635,Equity,12_sectoral
Granules India Ltd.,Pharmaceuticals,99.97,3.9,0.99%,0.06%,0.99% (Nov 2023),0.8% (Aug 2023),8.44 k,1.15 k,Small Cap,0.99,icici-prudential-nifty-pharma-index-fund-direct-plan-growth,MPI4635,Equity,12_sectoral
Sun Pharmaceutical Industries Ltd.,Pharmaceuticals,16.5,946.8,5.51%,0.35%,5.51% (Feb 2024),4.77% (Oct 2023),6.00 L,0.00,Large Cap,57.19,kotak-manufacture-in-india-fund-direct-growth,MKM1416,Equity,12_sectoral
Maruti Suzuki India Ltd.,Passenger cars & utility vehicles,10.31,790.2,4.60%,0.28%,5.4% (Oct 2023),4.32% (Jan 2024),70.00 k,0.00,Large Cap,57.19,kotak-manufacture-in-india-fund-direct-growth,MKM1416,Equity,12_sectoral
Reliance Industries Ltd.,Refineries & marketing,11.44,708.5,4.13%,-0.06%,5.37% (Mar 2023),3.97% (Dec 2023),2.43 L,0.00,Large Cap,57.19,kotak-manufacture-in-india-fund-direct-growth,MKM1416,Equity,12_sectoral
Tata Motors Ltd.,Passenger cars & utility vehicles,10.31,641.4,3.74%,0.12%,3.74% (Feb 2024),1.42% (Mar 2023),6.75 L,0.00,Large Cap,57.19,kotak-manufacture-in-india-fund-direct-growth,MKM1416,Equity,12_sectoral
Dr. Reddys Laboratories Ltd.,Pharmaceuticals,16.5,610.3,3.56%,0.04%,4.39% (Apr 2023),3.48% (Dec 2023),95.00 k,0.00,Large Cap,57.19,kotak-manufacture-in-india-fund-direct-growth,MKM1416,Equity,12_sectoral
Hero Motocorp Ltd.,2/3 wheelers,5.25,597.6,3.48%,0.82%,3.48% (Feb 2024),0% (Mar 2023),1.35 L,40.00 k,Large Cap,57.19,kotak-manufacture-in-india-fund-direct-growth,MKM1416,Equity,12_sectoral
Larsen & Toubro Ltd.,Civil construction,3.39,581.9,3.39%,-0.14%,3.84% (Apr 2023),3.39% (Feb 2024),1.67 L,0.00,Large Cap,57.19,kotak-manufacture-in-india-fund-direct-growth,MKM1416,Equity,12_sectoral
Bharat Petroleum Corporation Ltd.,Refineries & marketing,11.44,573.7,3.34%,1.68%,3.34% (Feb 2024),1.38% (Aug 2023),9.50 L,4.05 L,Large Cap,57.19,kotak-manufacture-in-india-fund-direct-growth,MKM1416,Equity,12_sectoral
Zydus Lifesciences Ltd.,Pharmaceuticals,16.5,536.9,3.13%,0.50%,3.13% (Feb 2024),2.43% (Oct 2023),5.70 L,0.00,Mid Cap,21.98,kotak-manufacture-in-india-fund-direct-growth,MKM1416,Equity,12_sectoral
Hindalco Industries Ltd.,Aluminium,2.93,503.9,2.93%,-0.58%,3.89% (Dec 2023),2.93% (Feb 2024),10.00 L,0.00,Large Cap,57.19,kotak-manufacture-in-india-fund-direct-growth,MKM1416,Equity,12_sectoral
Tata Steel Ltd.,Iron & steel products,2.87,493,2.87%,-0.01%,3.09% (Dec 2023),2.47% (Jun 2023),35.00 L,0.00,Other,12.62,kotak-manufacture-in-india-fund-direct-growth,MKM1416,Equity,12_sectoral
Bosch Ltd.,Auto components & equipments,8.79,486,2.83%,0.40%,2.83% (Feb 2024),1.94% (Aug 2023),17.00 k,0.00,Large Cap,57.19,kotak-manufacture-in-india-fund-direct-growth,MKM1416,Equity,12_sectoral
Cipla Ltd.,Pharmaceuticals,16.5,473.7,2.76%,0.14%,3% (Aug 2023),2.45% (Apr 2023),3.20 L,0.00,Large Cap,57.19,kotak-manufacture-in-india-fund-direct-growth,MKM1416,Equity,12_sectoral
Ambuja Cements Ltd.,Cement & cement products,5.1,454.4,2.65%,1.12%,2.65% (Feb 2024),0% (Mar 2023),7.50 L,3.00 L,Large Cap,57.19,kotak-manufacture-in-india-fund-direct-growth,MKM1416,Equity,12_sectoral
ABB India Ltd.,Heavy electrical equipment,3.84,422,2.46%,0.27%,2.86% (May 2023),2.19% (Jan 2024),77.50 k,0.00,Large Cap,57.19,kotak-manufacture-in-india-fund-direct-growth,MKM1416,Equity,12_sectoral
Ultratech Cement Ltd.,Cement & cement products,5.1,420.4,2.45%,-0.17%,3.12% (Mar 2023),2.45% (Feb 2024),42.50 k,0.00,Large Cap,57.19,kotak-manufacture-in-india-fund-direct-growth,MKM1416,Equity,12_sectoral
Bharat Electronics Ltd.,Aerospace & defense,2.42,415.3,2.42%,0.14%,2.42% (Feb 2024),1.85% (Mar 2023),20.25 L,0.00,Mid Cap,21.98,kotak-manufacture-in-india-fund-direct-growth,MKM1416,Equity,12_sectoral
"#
Hindustan Petroleum Corporation Ltd.",Refineries & marketing,11.44,382.1,2.23%,2.23%,2.23% (Feb 2024),0% (Mar 2023),7.50 L,7.50 L,Large Cap,57.19,kotak-manufacture-in-india-fund-direct-growth,MKM1416,Equity,12_sectoral
Cummins India Ltd.,"Compressors, pumps & diesel engines",2.19,376.6,2.19%,0.28%,2.19% (Feb 2024),1.71% (Oct 2023),1.38 L,0.00,Mid Cap,21.98,kotak-manufacture-in-india-fund-direct-growth,MKM1416,Equity,12_sectoral
Bharat Forge Ltd.,Castings & forgings,4.08,351.1,2.04%,-0.24%,2.45% (Sep 2023),2.04% (Feb 2024),3.05 L,0.00,Mid Cap,21.98,kotak-manufacture-in-india-fund-direct-growth,MKM1416,Equity,12_sectoral
Mahindra & Mahindra Ltd.,Passenger cars & utility vehicles,10.31,338.2,1.97%,0.22%,4.96% (Jun 2023),1.75% (Jan 2024),1.75 L,0.00,Large Cap,57.19,kotak-manufacture-in-india-fund-direct-growth,MKM1416,Equity,12_sectoral
Kaynes Technology India Private Ltd.,Industrial products,2.69,311.8,1.82%,0.01%,1.82% (Feb 2024),0% (Mar 2023),1.05 L,0.00,Other,12.62,kotak-manufacture-in-india-fund-direct-growth,MKM1416,Equity,12_sectoral
Carborundum Universal Ltd.,Abrasives & bearings,1.81,310.1,1.81%,-0.17%,2.8% (May 2023),1.81% (Feb 2024),2.90 L,0.00,Small Cap,6.48,kotak-manufacture-in-india-fund-direct-growth,MKM1416,Equity,12_sectoral
Eicher Motors Ltd.,2/3 wheelers,5.25,303.4,1.77%,-0.09%,2.38% (May 2023),1.77% (Feb 2024),80.00 k,0.00,Other,12.62,kotak-manufacture-in-india-fund-direct-growth,MKM1416,Equity,12_sectoral
"#
Indian Oil Corporation Ltd.",Refineries & marketing,11.44,298,1.74%,1.74%,1.74% (Feb 2024),0% (Mar 2023),18.00 L,18.00 L,Large Cap,57.19,kotak-manufacture-in-india-fund-direct-growth,MKM1416,Equity,12_sectoral
Godrej Consumer Products Ltd,Personal care,1.58,270.4,1.58%,0.06%,1.79% (May 2023),1.36% (Nov 2023),2.15 L,0.00,Large Cap,57.19,kotak-manufacture-in-india-fund-direct-growth,MKM1416,Equity,12_sectoral
AIA Engineering Ltd.,Castings & forgings,4.08,266.1,1.55%,-0.27%,2.11% (Mar 2023),1.55% (Feb 2024),73.00 k,0.00,Mid Cap,21.98,kotak-manufacture-in-india-fund-direct-growth,MKM1416,Equity,12_sectoral
Coromandel International Ltd.,Fertilizers,1.5,258.3,1.50%,-0.03%,2.02% (Sep 2023),1.5% (Feb 2024),2.40 L,0.00,Mid Cap,21.98,kotak-manufacture-in-india-fund-direct-growth,MKM1416,Equity,12_sectoral
Exide Industries Ltd.,Auto components & equipments,8.79,256.2,1.49%,-0.13%,1.62% (Jan 2024),1.23% (Mar 2023),8.00 L,0.00,Mid Cap,21.98,kotak-manufacture-in-india-fund-direct-growth,MKM1416,Equity,12_sectoral
Apollo Tyres Limited,Tyres & rubber products,1.42,243.7,1.42%,-0.12%,1.61% (May 2023),1.27% (Sep 2023),4.70 L,0.00,Mid Cap,21.98,kotak-manufacture-in-india-fund-direct-growth,MKM1416,Equity,12_sectoral
